Order_ID,Order_Date,Customer_ID,Customer_Name,Category,Sub_Category,Product,Sales,Quantity,Discount,Profit,Region,City,Payment_Mode,Year,Month,Month_Name,Quarter,Year_Month,Profit_Margin,Revenue_per_Unit
ORD-003885,2023-01-16,CUST-01918,Vihaan Bose,Electronics,Smartphones,Smartphones - 387,41346.911250000005,1,0.0,804.01,West,Pune,UPI,2023,1,Jan,1,2023-01,0.01944546704199095,41346.911250000005
ORD-010196,2023-01-09,CUST-00538,Priya Gupta,Electronics,Laptops,Laptops - 857,41346.911250000005,3,0.0,16112.74,South,Hyderabad,UPI,2023,1,Jan,1,2023-01,0.389696340376574,13782.303750000001
ORD-005035,2024-01-16,CUST-02782,Nikhil Verma,Beauty & Personal Care,Skincare,Skincare - 707,2201.1,1,0.05,790.95,East,Kolkata,UPI,2024,1,Jan,1,2024-01,0.35934305574485487,2201.1
ORD-002639,2023-09-10,CUST-02867,Pooja Reddy,Books & Stationery,Art Supplies,Art Supplies - 714,2136.18,1,0.0,378.06,South,Bengaluru,Debit Card,2023,9,Sep,3,2023-09,0.17697946802235767,2136.18
ORD-009203,2023-02-19,CUST-00596,Diya Kumar,Electronics,Accessories,Accessories - 526,41346.911250000005,1,0.05,4601.45,East,Patna,UPI,2023,2,Feb,1,2023-02,0.1112888450645754,41346.911250000005
ORD-000851,2023-03-21,CUST-00022,Rohan Patel,Fashion,Men's Wear,Men's Wear - 455,1511.52,1,0.15,363.2,West,Surat,Net Banking,2023,3,Mar,1,2023-03,0.2402879220916693,1511.52
ORD-009050,2023-06-25,CUST-01972,Simran Das,Books & Stationery,Fiction,Fiction - 578,2299.11,1,0.0,472.75,North,Lucknow,UPI,2023,6,Jun,2,2023-06,0.20562304543932217,2299.11
ORD-003871,2025-10-17,CUST-01400,Rohan Reddy,Fashion,Men's Wear,Men's Wear - 770,405.04,1,0.15,93.64,East,Kolkata,UPI,2025,10,Oct,4,2025-10,0.23118704325498715,405.04
ORD-011709,2024-10-30,CUST-00140,Vivaan Verma,Fashion,Watches,Watches - 610,4728.32,1,0.0,1455.56,South,Kochi,UPI,2024,10,Oct,4,2024-10,0.30783872495939363,4728.32
ORD-004786,2023-03-15,CUST-00681,Vivaan Verma,Beauty & Personal Care,Fragrance,Fragrance - 998,2959.32,1,0.05,862.64,North,Chandigarh,UPI,2023,3,Mar,1,2023-03,0.2914993985104686,2959.32
